id,type,group,name
0,5,gyro,xRaw
1,5,gyro,yRaw
2,5,gyro,zRaw
3,7,gyro,xVariance
4,3,colAv,latency
5,7,gyro,zVariance
6,3,pwm,m1_pwm
7,3,pwm,m2_pwm
8,7,health,motorVarYM2
9,7,health,motorVarXM3
10,2,crtp,rxRate
11,2,crtp,txRate
12,7,health,motorVarYM4
13,1,health,motorPass
14,7,pm,extVbat
15,1,health,batteryPass
16,7,pm,extCurr
17,1,kalman,inFlight
18,4,pm,state
19,1,pm,batteryLevel
20,1,radio,rssi
21,1,radio,isConnected
22,4,sys,armed
23,2,extrx,ch0
24,2,extrx,ch1
25,2,extrx,ch2
26,2,extrx,ch3
27,2,extrx,thrust
28,7,extrx,roll
29,7,kalman,varZ
30,7,extrx,yaw
31,3,memTst,errCntW
32,2,range,front
33,7,kalman,varD0
34,2,range,up
35,2,range,left
36,7,kalman,q0
37,2,range,zrange
38,7,kalman,q2
39,7,kalman,q3
40,1,sys,isTumbled
41,7,ext_pos,X
42,7,kalman,rtBaro
43,7,ext_pos,Z
44,2,locSrvZ,tick
45,7,kalman,rtRej
46,7,pid_attitude,roll_outI
47,7,kalman_states,oy
48,7,pid_attitude,pitch_outP
49,7,kalman_states,vy
50,7,pid_attitude,pitch_outD
51,7,pid_attitude,yaw_outP
52,7,pid_attitude,yaw_outI
53,7,kalman_pred,measNX
54,7,pid_rate,roll_outP
55,7,ring,fadeTime
56,7,pid_rate,roll_outD
57,7,pid_rate,pitch_outP
58,7,pid_rate,pitch_outI
59,7,pid_rate,pitch_outD
60,6,gps,nsat
61,7,pid_rate,yaw_outI
62,7,pid_rate,yaw_outD
63,7,sensfusion6,qw
